SCAN_ROOT_COUNT	3
SCAN_FILE_COUNT	349
SCAN_TOTAL_BYTES	1215989873
CONTRACT_PATTERN	^\d{4}-\d{2}-\d{2}T\d{2}:\d{2}:\d{2}(\.\d{1,9})?([+-]\d{2}:\d{2}|Z)$

=== PER-FILE ===
file	bytes	lines	extracted	shapes
landing\accepted\29\2026090602.jsonl	1664634	3591	3590	CONTRACT_OK_OFFSET=3590
landing\accepted\29\2026090603.jsonl	1141883	2463	2462	CONTRACT_OK_OFFSET=2462
landing\accepted\29\2026090604.jsonl	1003050	2162	2161	CONTRACT_OK_OFFSET=2161
landing\accepted\29\2026090605.jsonl	1024328	2210	2209	CONTRACT_OK_OFFSET=2209
landing\accepted\29\2026090606.jsonl	2061351	4444	4443	CONTRACT_OK_OFFSET=4443
landing\accepted\29\2026090607.jsonl	5083640	10960	10959	CONTRACT_OK_OFFSET=10959
landing\accepted\29\2026090608.jsonl	8976958	19358	19357	CONTRACT_OK_OFFSET=19357
landing\accepted\29\2026090609.jsonl	12066670	26017	26016	CONTRACT_OK_OFFSET=26016
landing\accepted\29\2026090610.jsonl	15047773	32445	32444	CONTRACT_OK_OFFSET=32444
landing\accepted\29\2026090611.jsonl	17254498	37198	37197	CONTRACT_OK_OFFSET=37197
landing\accepted\29\2026090612.jsonl	18463188	39804	39803	CONTRACT_OK_OFFSET=39803
landing\accepted\29\2026090613.jsonl	16112691	34736	34735	CONTRACT_OK_OFFSET=34735
landing\accepted\29\2026090614.jsonl	15658701	33760	33759	CONTRACT_OK_OFFSET=33759
landing\accepted\29\2026090615.jsonl	14244829	30707	30706	CONTRACT_OK_OFFSET=30706
landing\accepted\29\2026090616.jsonl	13198659	28458	28457	CONTRACT_OK_OFFSET=28457
landing\accepted\29\2026090617.jsonl	16134167	34789	34788	CONTRACT_OK_OFFSET=34788
landing\accepted\29\2026090620.jsonl	1842	5	4	CONTRACT_OK_OFFSET=4
landing\accepted\29\2026090621.jsonl	7424	18	17	CONTRACT_OK_OFFSET=17
landing\accepted\29\2026090700.jsonl	346927	998	997	CONTRACT_OK_OFFSET=997
landing\accepted\29\2026090701.jsonl	358592	1009	1008	CONTRACT_OK_OFFSET=1008
landing\accepted\29\2026090703.jsonl	915	4	3	CONTRACT_OK_OFFSET=3
landing\accepted\29\golden-r615-20260910164859.jsonl	17419	52	51	CONTRACT_OK_OFFSET=51
landing\accepted\29\golden-r615b-20260910165249.jsonl	17419	52	51	CONTRACT_OK_OFFSET=51
landing\accepted\29\golden-r618-tampered-20260910.jsonl	17419	52	51	CONTRACT_OK_OFFSET=51
landing\accepted\29\golden-r619-clean-20260910.jsonl	17419	52	51	CONTRACT_OK_OFFSET=51
landing\accepted\29\golden-r70-clean-20260910.jsonl	17419	52	51	CONTRACT_OK_OFFSET=51
landing\accepted\29\golden-r73-clean-20260910.jsonl	17419	52	51	CONTRACT_OK_OFFSET=51
landing\accepted\29\r9-prunefix-105922.jsonl	17419	52	51	CONTRACT_OK_OFFSET=51
landing\accepted\29\r9-prunefix-110637.jsonl	17419	52	51	CONTRACT_OK_OFFSET=51
landing\accepted\29\r9-qualityfail-103736.jsonl	17419	52	51	CONTRACT_OK_OFFSET=51
landing\accepted\30\golden-r615-20260910164859.jsonl	0	1	0	
landing\accepted\30\r9-m1-123006.jsonl	17419	52	51	CONTRACT_OK_OFFSET=51
landing\accepted\31\gen-s3b-1000-20260911.jsonl	363848	1001	1000	CONTRACT_OK_OFFSET=1000
landing\accepted\31\golden-r615-20260910164859.jsonl	0	1	0	
landing\accepted\32\golden-r615-20260910164859.jsonl	0	1	0	
landing\accepted\33\golden-r615-20260910164859.jsonl	0	1	0	
landing\accepted\34\2026091115.jsonl	19325	41	40	CONTRACT_OK_OFFSET=40
landing\accepted\34\golden-r615-20260910164859.jsonl	0	1	0	
landing\accepted\35\golden-r615-20260910164859.jsonl	0	1	0	
landing\accepted\36\b08-gate-20260911-1555.jsonl	584	3	2	CONTRACT_OK_OFFSET=2
landing\accepted\36\golden-r615-20260910164859.jsonl	0	1	0	
landing\accepted\37\golden-r615-20260910164859.jsonl	0	1	0	
landing\accepted\38\golden-r615-20260910164859.jsonl	0	1	0	
landing\accepted\39\b11-fixture-20260911162916.jsonl	584	3	2	CONTRACT_OK_OFFSET=2
landing\accepted\39\golden-r615-20260910164859.jsonl	0	1	0	
landing\accepted\4\2026090621.jsonl	0	1	0	
landing\accepted\40\2026091120.jsonl	459013	1014	1013	CONTRACT_OK_OFFSET=1013
landing\accepted\40\2026091121.jsonl	165249	368	367	CONTRACT_OK_OFFSET=367
landing\accepted\40\2026091122.jsonl	129974	288	287	CONTRACT_OK_OFFSET=287
landing\accepted\40\golden-r615-20260910164859.jsonl	0	1	0	
landing\accepted\41\2026091209.jsonl	1128	4	3	CONTRACT_OK_OFFSET=3
landing\accepted\41\2026091210.jsonl	583351	1294	1293	CONTRACT_OK_OFFSET=1293
landing\accepted\41\2026091211.jsonl	630555	1392	1391	CONTRACT_OK_OFFSET=1391
landing\accepted\41\2026091215.jsonl	992	3	2	CONTRACT_OK_OFFSET=2
landing\accepted\41\golden-r615-20260910164859.jsonl	0	1	0	
landing\accepted\41\r2-golden55-20260912-172221.jsonl	17419	52	51	CONTRACT_OK_OFFSET=51
landing\accepted\42\golden-r615-20260910164859.jsonl	0	1	0	
landing\accepted\42\r2ctl-b31replay-20260912-173418.jsonl	363848	1001	1000	CONTRACT_OK_OFFSET=1000
landing\accepted\5\2026090621.jsonl	399	2	1	CONTRACT_OK_OFFSET=1
landing\accepted\7\2026090700.jsonl	346927	998	997	CONTRACT_OK_OFFSET=997
landing\accepted\8\2026090701.jsonl	355940	1001	1000	CONTRACT_OK_OFFSET=1000
landing\accepted\9\2026090701.jsonl	1045	4	3	CONTRACT_OK_OFFSET=3
