### 批次 45 隔离明细（quarantine_record, 只读）时间 2026-09-12 22:09:02 
--- 按原因聚合计数据（batch_id=45）---
reason	n
缺失必要字段: event_id	31
payload 缺失必要字段: user_id	18
payload 缺失必要字段: order_id	12
payload 缺失必要字段: amount	5
金额格式违规: cost 类型异常	4
非法 behavior_type: add_cart	2
非法 behavior_type: cancel	2
非法 behavior_type: pay_later	2
非法 behavior_type: purchase	2
payload 缺失必要字段: age_group	1
payload 缺失必要字段: behavior_type	1
payload 缺失必要字段: category_id	1
payload 缺失必要字段: items	1
payload 缺失必要字段: member_level	1
payload 缺失必要字段: payment_id	1
payload 缺失必要字段: price	1
payload 缺失必要字段: reason	1
payload 缺失必要字段: refund_id	1
payload 缺失必要字段: session_id	1
payload 缺失必要字段: total_amount	1
payload 缺失或非对象	1
缺失必要字段: event_time	1
缺失必要字段: event_type	1
缺失必要字段: ingest_time	1
缺失必要字段: schema_version	1
缺失必要字段: source_system	1
缺失必要字段: trace_id	1
--- 逐行明细（batch_id=45，按 raw_path, id 排序）---
id	event_id	schema_version	reason	quar_file
162	b1b-evt-0020	1.0	payload 缺失必要字段: order_id	D:\Develop_code\GraduationProject\landing\quarantine\45\b1b-payload-vocab.jsonl
163	b1b-evt-0021	1.0	payload 缺失必要字段: order_id	D:\Develop_code\GraduationProject\landing\quarantine\45\b1b-payload-vocab.jsonl
164	b1b-evt-0022	1.0	payload 缺失必要字段: order_id	D:\Develop_code\GraduationProject\landing\quarantine\45\b1b-payload-vocab.jsonl
165	b1b-evt-0023	1.0	payload 缺失必要字段: order_id	D:\Develop_code\GraduationProject\landing\quarantine\45\b1b-payload-vocab.jsonl
166	b1b-evt-0024	1.0	payload 缺失必要字段: order_id	D:\Develop_code\GraduationProject\landing\quarantine\45\b1b-payload-vocab.jsonl
167	b1b-evt-0025	1.0	payload 缺失必要字段: user_id	D:\Develop_code\GraduationProject\landing\quarantine\45\b1b-payload-vocab.jsonl
168	b1b-evt-0026	1.0	payload 缺失必要字段: user_id	D:\Develop_code\GraduationProject\landing\quarantine\45\b1b-payload-vocab.jsonl
169	b1b-evt-0027	1.0	payload 缺失必要字段: user_id	D:\Develop_code\GraduationProject\landing\quarantine\45\b1b-payload-vocab.jsonl
170	b1b-evt-0028	1.0	payload 缺失必要字段: user_id	D:\Develop_code\GraduationProject\landing\quarantine\45\b1b-payload-vocab.jsonl
171	b1b-evt-0029	1.0	payload 缺失必要字段: user_id	D:\Develop_code\GraduationProject\landing\quarantine\45\b1b-payload-vocab.jsonl
172	b1b-evt-0030	1.0	payload 缺失必要字段: user_id	D:\Develop_code\GraduationProject\landing\quarantine\45\b1b-payload-vocab.jsonl
173	b2-2-evt-0025	1.0	金额格式违规: cost 类型异常	D:\Develop_code\GraduationProject\landing\quarantine\45\b2-missing-optional.jsonl
174	b2-2-evt-0030	1.0	金额格式违规: cost 类型异常	D:\Develop_code\GraduationProject\landing\quarantine\45\b2-missing-optional.jsonl
175	b2-2-evt-0035	1.0	金额格式违规: cost 类型异常	D:\Develop_code\GraduationProject\landing\quarantine\45\b2-missing-optional.jsonl
176	b2-2-evt-0040	1.0	金额格式违规: cost 类型异常	D:\Develop_code\GraduationProject\landing\quarantine\45\b2-missing-optional.jsonl
177	b3a-evt-0001	1.0	payload 缺失必要字段: payment_id	D:\Develop_code\GraduationProject\landing\quarantine\45\b3a-missing-required.jsonl
178	b3a-evt-0002	1.0	payload 缺失必要字段: amount	D:\Develop_code\GraduationProject\landing\quarantine\45\b3a-missing-required.jsonl
179	b3a-evt-0003	1.0	payload 缺失必要字段: session_id	D:\Develop_code\GraduationProject\landing\quarantine\45\b3a-missing-required.jsonl
180	b3a-evt-0004	1.0	payload 缺失必要字段: behavior_type	D:\Develop_code\GraduationProject\landing\quarantine\45\b3a-missing-required.jsonl
181	b3a-evt-0005	1.0	payload 缺失必要字段: price	D:\Develop_code\GraduationProject\landing\quarantine\45\b3a-missing-required.jsonl
182	b3a-evt-0006	1.0	payload 缺失必要字段: category_id	D:\Develop_code\GraduationProject\landing\quarantine\45\b3a-missing-required.jsonl
183	b3a-evt-0007	1.0	payload 缺失必要字段: total_amount	D:\Develop_code\GraduationProject\landing\quarantine\45\b3a-missing-required.jsonl
184	b3a-evt-0008	1.0	payload 缺失必要字段: items	D:\Develop_code\GraduationProject\landing\quarantine\45\b3a-missing-required.jsonl
185	b3a-evt-0009	1.0	payload 缺失必要字段: member_level	D:\Develop_code\GraduationProject\landing\quarantine\45\b3a-missing-required.jsonl
186	b3a-evt-0010	1.0	payload 缺失必要字段: age_group	D:\Develop_code\GraduationProject\landing\quarantine\45\b3a-missing-required.jsonl
187	b3a-evt-0011	1.0	payload 缺失必要字段: reason	D:\Develop_code\GraduationProject\landing\quarantine\45\b3a-missing-required.jsonl
188	b3a-evt-0012	1.0	payload 缺失必要字段: refund_id	D:\Develop_code\GraduationProject\landing\quarantine\45\b3a-missing-required.jsonl
189	NULL	1.0	缺失必要字段: event_id	D:\Develop_code\GraduationProject\landing\quarantine\45\b3a-missing-required.jsonl
190	b3a-evt-0024	1.0	缺失必要字段: trace_id	D:\Develop_code\GraduationProject\landing\quarantine\45\b3a-missing-required.jsonl
191	b3a-evt-0025	1.0	缺失必要字段: source_system	D:\Develop_code\GraduationProject\landing\quarantine\45\b3a-missing-required.jsonl
192	b3a-evt-0026	NULL	缺失必要字段: schema_version	D:\Develop_code\GraduationProject\landing\quarantine\45\b3a-missing-required.jsonl
193	b3a-evt-0027	1.0	缺失必要字段: event_type	D:\Develop_code\GraduationProject\landing\quarantine\45\b3a-missing-required.jsonl
